category,total_orders,gross_revenue,category_avg_order_value
computers,177,228349.76,1290.11
home_appliances_2,227,118208.52000000006,520.74
agro_industry_and_commerce,177,76203.30000000002,430.53
musical_instruments,611,202187.12000000005,330.91
small_appliances,609,198108.47,325.3
fixed_telephony,212,59816.54000000001,282.15
construction_tools_safety,159,42504.019999999975,267.32
office_furniture,1254,335211.36000000004,267.31
air_conditioning,246,59854.55000000001,243.31
kitchen_dining_laundry_garden_furniture,241,57072.97000000001,236.82
watches_gifts,5495,1264333.1200000083,230.09
construction_tools_construction,736,162382.01000000004,220.63
furniture_living_room,414,85045.07000000008,205.42
signaling_and_security,138,27792.590000000004,201.4
industry_commerce_and_business,232,46079.33999999999,198.62
home_construction,483,95022.36999999988,196.73
construction_tools_lights,242,47447.14000000005,196.06
cool_stuff,3559,691680.8900000008,194.35
auto,3810,669454.7499999984,175.71
home_confort,392,66438.2199999999,169.49
