customer_state,unique_customers,total_orders,gross_revenue,avg_order_value
SP,39156,40501,5769703.15,142.46
RJ,11917,12350,2055401.57,166.43
MG,11001,11354,1818891.67,160.2
RS,5168,5345,861472.79,161.17
PR,4769,4923,781708.8,158.79
SC,3449,3546,595127.78,167.83
BA,3158,3256,591137.81,181.55
DF,2019,2080,346123.35,166.41
GO,1895,1957,334212.35,170.78
ES,1928,1995,317657.93,159.23
PE,1551,1593,308972.05,193.96
CE,1258,1279,266436.77,208.32
PA,922,946,212023.57,224.13
MT,856,886,181224.42,204.54
MA,700,717,147803.55,206.14
PB,504,517,137838.55,266.61
MS,681,701,134367.55,191.68
PI,464,476,105178.19,220.96
RN,464,474,100714.78,212.48
AL,387,397,94172.49,237.21
SE,329,335,70289.13,209.82
TO,267,274,60007.37,219.01
RO,231,243,56966,234.43
AM,140,145,27585.47,190.24
AC,76,80,19575.33,244.69
AP,66,67,16141.81,240.92
RR,40,41,9039.52,220.48
